date,temp_c,humidity,wind_kmh,precip_mm,condition
2024-03-23,5.3,81.3,12.5,2.0,cloudy
2024-03-24,13.4,61.6,19.0,0.2,sunny
2024-03-25,8.4,76.6,14.8,3.1,cloudy
2024-03-26,12.1,68.3,10.6,0.1,sunny
2024-03-27,11.0,72.9,9.8,0.4,cloudy
2024-03-28,7.7,78.1,16.5,7.8,rain
2024-03-29,7.8,81.9,13.5,2.2,cloudy
2024-03-30,12.9,60.6,5.7,0.5,sunny
2024-03-31,13.1,52.1,19.1,0.7,sunny
2024-04-01,4.9,80.8,11.1,2.3,cloudy
2024-04-02,11.2,70.4,23.6,3.7,cloudy
2024-04-03,9.6,78.6,5.6,0.2,cloudy
2024-04-04,7.5,80.4,12.9,0.2,cloudy
2024-04-05,10.9,78.9,9.8,0.9,cloudy
2024-04-06,7.1,76.6,8.1,4.0,cloudy
2024-04-07,9.5,69.6,11.1,0.3,sunny
2024-04-08,8.8,59.5,24.6,0.0,sunny
2024-04-09,9.7,69.7,14.9,0.4,sunny
2024-04-10,11.0,61.4,9.2,0.5,sunny
2024-04-11,8.8,70.7,3.0,3.8,cloudy
2024-04-12,15.4,57.6,3.7,0.1,sunny
2024-04-13,12.9,65.1,10.8,0.6,sunny
2024-04-14,16.3,55.0,10.2,0.4,sunny
2024-04-15,11.6,70.7,12.7,9.1,rain
2024-04-16,10.8,46.5,0.4,0.4,sunny
2024-04-17,16.7,56.2,13.4,0.0,sunny
2024-04-18,11.1,73.5,20.2,7.4,rain
2024-04-19,12.2,76.1,23.7,0.3,cloudy
2024-04-20,14.7,63.7,2.6,0.4,sunny
2024-04-21,9.9,78.9,9.2,0.7,cloudy
2024-04-22,15.0,59.2,8.9,1.9,sunny
2024-04-23,14.8,58.3,14.9,0.4,sunny
2024-04-24,16.7,58.6,6.7,0.2,sunny
2024-04-25,15.9,56.3,24.1,0.7,sunny
2024-04-26,17.1,48.7,14.3,0.1,sunny
2024-04-27,13.8,56.6,13.3,0.3,sunny
2024-04-28,12.1,55.5,23.6,0.2,sunny
2024-04-29,19.7,53.3,13.9,3.7,sunny
2024-04-30,10.7,65.8,16.4,0.1,sunny
2024-05-01,11.2,62.4,9.5,1.8,sunny
2024-05-02,16.3,51.7,5.8,0.1,sunny
2024-05-03,19.1,54.1,10.3,0.3,sunny
2024-05-04,15.7,62.2,27.1,0.1,sunny
2024-05-05,17.9,44.9,17.8,0.8,sunny
2024-05-06,10.5,57.0,15.6,1.0,sunny
2024-05-07,14.4,65.7,8.1,0.2,sunny
2024-05-08,11.2,55.3,19.5,0.6,sunny
2024-05-09,18.0,56.5,5.9,0.7,sunny
2024-05-10,12.3,74.2,4.6,3.4,cloudy
2024-05-11,13.1,72.7,10.6,0.3,cloudy
2024-05-12,17.8,58.2,25.7,0.4,sunny
2024-05-13,19.3,55.2,25.4,1.4,sunny
2024-05-14,16.4,71.3,11.3,0.6,cloudy
2024-05-15,18.4,35.6,10.0,0.1,sunny
2024-05-16,18.4,48.6,4.2,0.7,sunny
2024-05-17,16.7,60.9,14.5,0.4,sunny
2024-05-18,14.6,56.3,15.0,0.8,sunny
2024-05-19,18.9,59.6,18.7,0.1,sunny
2024-05-20,19.2,50.2,19.5,0.4,sunny
2024-05-21,20.0,49.9,12.8,0.0,sunny
2024-05-22,18.7,49.4,17.3,0.3,sunny
2024-05-23,15.2,54.1,9.8,0.3,sunny
2024-05-24,19.9,45.3,17.2,0.4,sunny
2024-05-25,18.3,53.9,11.0,0.7,sunny
2024-05-26,17.3,48.5,16.8,0.0,sunny
2024-05-27,17.9,59.5,16.3,2.6,sunny
2024-05-28,17.0,58.9,14.4,0.5,sunny
2024-05-29,21.1,54.7,18.8,1.6,sunny
2024-05-30,15.4,49.3,4.6,0.2,sunny
2024-05-31,16.6,43.2,7.6,0.1,sunny
2024-06-01,18.4,51.8,12.4,0.1,sunny
2024-06-02,23.4,63.2,5.3,0.9,sunny
2024-06-03,22.1,54.1,11.6,0.1,sunny
2024-06-04,15.5,53.3,11.8,0.9,sunny
2024-06-05,23.1,46.4,21.9,0.0,sunny
2024-06-06,23.2,48.4,14.9,0.7,sunny
2024-06-07,17.0,44.9,20.2,0.1,sunny
2024-06-08,13.7,69.9,15.8,0.7,sunny
2024-06-09,19.9,48.0,10.8,0.1,sunny
2024-06-10,23.0,42.9,14.8,0.1,sunny
2024-06-11,24.3,41.5,18.4,0.9,sunny
2024-06-12,18.2,60.2,21.2,1.1,sunny
2024-06-13,24.9,34.9,13.2,0.5,sunny
2024-06-14,15.0,46.0,4.1,0.4,sunny
2024-06-15,19.8,51.7,3.7,0.5,sunny
2024-06-16,19.7,35.2,12.0,0.7,sunny
2024-06-17,23.7,40.2,0.0,0.2,sunny
2024-06-18,24.2,49.8,24.8,0.2,sunny
2024-06-19,23.4,47.0,17.6,1.4,sunny
2024-06-20,17.7,60.5,10.2,0.7,sunny
2024-06-21,23.3,47.4,7.3,0.3,sunny
2024-06-22,22.5,61.4,20.2,0.1,sunny
2024-06-23,17.1,50.1,7.3,0.7,sunny
2024-06-24,16.2,58.7,7.9,1.1,sunny
2024-06-25,24.0,38.7,9.4,0.8,sunny
2024-06-26,21.0,53.9,14.7,0.8,sunny
2024-06-27,18.3,51.6,17.7,0.5,sunny
2024-06-28,21.0,59.2,21.2,0.0,sunny
2024-06-29,22.5,40.8,20.3,0.0,sunny
2024-06-30,21.4,56.2,14.0,0.1,sunny
2024-07-01,17.8,57.1,20.1,0.2,sunny
2024-07-02,26.5,37.2,10.0,0.9,sunny
2024-07-03,24.3,45.1,3.1,0.1,sunny
2024-07-04,21.0,49.1,10.0,0.0,sunny
2024-07-05,21.1,49.5,9.2,0.2,sunny
2024-07-06,22.8,42.6,10.2,0.1,sunny
2024-07-07,19.1,45.8,8.2,0.5,sunny
2024-07-08,22.7,41.7,11.2,0.0,sunny
2024-07-09,18.6,39.7,17.7,0.3,sunny
2024-07-10,21.8,51.7,24.3,1.4,sunny
2024-07-11,19.1,42.1,3.6,0.7,sunny
2024-07-12,19.2,48.9,6.3,2.0,sunny
2024-07-13,26.1,42.5,9.3,0.8,sunny
2024-07-14,22.1,51.0,18.6,0.2,sunny
2024-07-15,22.5,32.0,12.8,0.9,sunny
2024-07-16,17.0,53.8,9.7,1.0,sunny
2024-07-17,20.5,51.3,18.3,0.6,sunny
2024-07-18,23.1,43.7,19.7,0.9,sunny
2024-07-19,22.5,54.0,13.9,1.7,sunny
2024-07-20,16.6,49.4,9.1,0.4,sunny
2024-07-21,22.5,30.2,15.6,0.1,sunny
2024-07-22,22.9,49.5,12.6,0.3,sunny
2024-07-23,25.1,36.0,12.6,0.1,sunny
2024-07-24,20.3,36.2,10.9,2.5,sunny
2024-07-25,16.3,54.6,19.5,0.1,sunny
2024-07-26,19.3,58.8,15.5,0.2,sunny
2024-07-27,19.1,41.9,20.2,0.6,sunny
2024-07-28,23.6,58.9,22.0,0.9,sunny
2024-07-29,14.9,52.3,16.8,0.9,sunny
2024-07-30,20.6,48.6,11.0,0.6,sunny
2024-07-31,25.2,31.1,20.2,0.1,sunny
2024-08-01,21.6,46.4,16.8,0.3,sunny
2024-08-02,23.8,41.3,29.6,1.5,sunny
2024-08-03,17.4,43.3,15.9,0.4,sunny
2024-08-04,17.4,73.4,18.2,0.8,cloudy
2024-08-05,25.0,36.6,15.7,0.5,sunny
2024-08-06,21.6,42.7,13.4,0.0,sunny
2024-08-07,21.5,53.1,12.4,0.5,sunny
2024-08-08,18.4,64.6,15.8,2.5,sunny
2024-08-09,21.4,54.4,17.1,0.4,sunny
2024-08-10,18.2,43.9,20.9,0.6,sunny
2024-08-11,23.9,43.4,15.9,0.8,sunny
2024-08-12,27.7,22.0,11.2,0.2,sunny
2024-08-13,22.0,51.7,12.0,0.1,sunny
2024-08-14,19.1,39.1,6.1,0.6,sunny
2024-08-15,14.3,53.6,24.0,0.2,sunny
2024-08-16,16.3,55.6,10.8,0.5,sunny
2024-08-17,24.3,44.3,19.8,0.2,sunny
2024-08-18,17.8,51.1,15.7,1.5,sunny
2024-08-19,19.3,60.8,15.8,0.5,sunny
2024-08-20,21.8,50.8,13.3,0.6,sunny
2024-08-21,23.8,46.7,9.3,0.1,sunny
2024-08-22,19.5,41.3,8.2,0.3,sunny
2024-08-23,18.9,63.0,24.4,0.7,sunny
2024-08-24,19.9,43.5,14.7,0.4,sunny
2024-08-25,18.1,64.6,20.8,0.2,sunny
2024-08-26,18.1,66.6,22.3,0.8,sunny
2024-08-27,20.5,51.8,11.5,1.8,sunny
2024-08-28,19.8,56.6,16.5,0.1,sunny
2024-08-29,24.5,20.0,14.3,0.8,sunny
2024-08-30,20.2,47.3,7.1,0.0,sunny
2024-08-31,21.8,53.4,12.9,0.0,sunny
2024-09-01,16.1,62.4,17.5,0.9,sunny
2024-09-02,20.0,40.5,11.0,0.0,sunny
2024-09-03,16.8,52.8,12.1,0.0,sunny
2024-09-04,19.4,32.3,13.0,0.2,sunny
2024-09-05,20.0,51.9,26.7,0.8,sunny
2024-09-06,18.3,38.9,3.0,0.0,sunny
2024-09-07,24.0,49.6,17.0,0.9,sunny
2024-09-08,21.5,54.6,12.5,1.9,sunny
2024-09-09,20.7,44.4,10.2,0.3,sunny
2024-09-10,19.5,53.5,12.3,0.7,sunny
2024-09-11,21.9,44.1,18.0,1.8,sunny
2024-09-12,13.7,62.0,18.3,0.0,sunny
2024-09-13,20.6,39.9,15.1,0.9,sunny
2024-09-14,14.5,63.2,20.6,0.1,sunny
2024-09-15,15.5,45.7,21.6,0.6,sunny
2024-09-16,18.1,39.6,18.9,0.4,sunny
2024-09-17,19.7,48.8,10.7,0.1,sunny
2024-09-18,13.5,59.2,17.0,0.1,sunny
2024-09-19,15.0,59.9,17.0,1.2,sunny
2024-09-20,16.4,51.0,9.1,0.2,sunny
2024-09-21,15.5,70.3,4.6,0.0,cloudy
2024-09-22,17.9,53.9,1.9,0.1,sunny
2024-09-23,24.2,43.0,14.4,1.0,sunny
2024-09-24,16.5,56.6,15.8,0.3,sunny
2024-09-25,13.5,67.8,6.9,0.8,sunny
2024-09-26,11.9,67.6,20.3,0.3,sunny
2024-09-27,14.2,62.6,14.9,0.1,sunny
2024-09-28,12.5,67.7,22.1,1.4,sunny
2024-09-29,15.8,43.7,16.2,0.0,sunny
2024-09-30,15.6,44.4,7.6,1.4,sunny
2024-10-01,13.2,60.8,16.7,0.5,sunny
2024-10-02,19.1,49.2,18.0,0.4,sunny
2024-10-03,12.1,67.2,10.7,1.3,sunny
2024-10-04,13.5,60.8,5.3,0.6,sunny
2024-10-05,15.2,61.6,14.6,2.5,sunny
2024-10-06,15.7,48.0,8.0,1.3,sunny
2024-10-07,16.5,55.2,20.7,0.8,sunny
2024-10-08,14.2,50.0,11.6,0.5,sunny
2024-10-09,15.6,59.6,24.3,1.3,sunny
2024-10-10,11.1,51.8,1.3,0.3,sunny
2024-10-11,14.9,60.6,14.8,0.0,sunny
2024-10-12,14.7,48.2,22.6,0.1,sunny
2024-10-13,16.1,53.4,8.7,1.1,sunny
2024-10-14,7.9,77.0,13.0,4.6,cloudy
2024-10-15,9.7,69.2,11.6,0.6,sunny
2024-10-16,13.8,48.6,9.9,0.1,sunny
2024-10-17,5.0,71.4,15.5,5.5,rain
2024-10-18,12.6,51.7,6.2,1.9,sunny
2024-10-19,13.9,48.1,13.3,0.4,sunny
2024-10-20,9.6,68.5,17.1,0.2,sunny
2024-10-21,9.8,71.2,12.7,4.6,cloudy
2024-10-22,8.0,73.6,8.0,0.8,cloudy
2024-10-23,9.3,72.5,20.2,1.0,cloudy
2024-10-24,9.2,68.4,18.4,0.5,sunny
2024-10-25,8.5,67.8,7.8,0.4,sunny
2024-10-26,8.2,62.7,6.2,1.2,sunny
2024-10-27,9.2,65.3,8.3,0.4,sunny
2024-10-28,9.0,59.5,17.3,0.1,sunny
2024-10-29,14.2,53.5,15.7,0.2,sunny
2024-10-30,8.4,70.5,18.7,6.4,rain
2024-10-31,10.1,66.0,12.0,0.0,sunny
2024-11-01,7.6,92.7,8.5,7.7,rain
2024-11-02,7.4,62.2,19.5,0.4,sunny
2024-11-03,4.5,76.1,10.7,1.0,cloudy
2024-11-04,4.6,66.7,15.1,3.2,sunny
2024-11-05,5.4,72.6,4.7,3.1,cloudy
2024-11-06,8.7,66.9,10.6,0.3,sunny
2024-11-07,10.8,71.5,20.1,22.6,rain
2024-11-08,3.5,75.6,9.7,5.9,rain
2024-11-09,6.4,72.1,18.9,6.0,rain
2024-11-10,4.2,74.4,0.0,2.6,cloudy
2024-11-11,6.8,62.9,10.6,0.6,sunny
2024-11-12,10.0,62.4,13.0,0.0,sunny
2024-11-13,6.0,71.5,24.5,0.7,cloudy
2024-11-14,6.9,73.1,7.0,1.4,cloudy
2024-11-15,10.5,70.0,18.0,1.4,cloudy
2024-11-16,7.9,69.2,20.3,0.3,sunny
2024-11-17,4.7,74.8,9.7,5.3,rain
2024-11-18,6.8,60.7,11.8,0.6,sunny
2024-11-19,4.2,81.2,14.8,7.6,rain
2024-11-20,7.2,67.2,5.1,0.7,sunny
2024-11-21,7.3,77.1,11.3,3.7,cloudy
2024-11-22,2.4,89.8,21.7,7.2,rain
2024-11-23,6.2,72.6,17.1,4.3,cloudy
2024-11-24,5.3,68.3,13.1,0.4,sunny
2024-11-25,6.8,72.6,14.7,3.2,cloudy
2024-11-26,7.4,74.1,17.5,1.6,cloudy
2024-11-27,6.4,71.3,18.6,8.0,rain
2024-11-28,4.3,73.3,10.7,3.9,cloudy
2024-11-29,7.3,75.8,23.2,7.3,rain
2024-11-30,2.7,83.7,21.9,1.2,cloudy
2024-12-01,1.4,80.0,18.1,3.3,cloudy
2024-12-02,-3.4,79.5,8.9,3.9,cloudy
2024-12-03,4.3,80.4,7.9,9.2,rain
2024-12-04,2.3,75.4,12.0,3.3,cloudy
2024-12-05,5.3,77.0,14.4,4.6,cloudy
2024-12-06,-0.8,87.4,3.4,3.1,cloudy
2024-12-07,2.4,67.4,17.0,0.2,sunny
2024-12-08,5.1,76.3,21.7,0.7,cloudy
2024-12-09,1.3,86.3,17.5,1.6,cloudy
2024-12-10,4.8,80.9,9.9,1.9,cloudy
2024-12-11,2.3,81.7,9.2,10.2,rain
2024-12-12,3.5,64.9,15.8,0.3,sunny
2024-12-13,5.0,85.0,13.1,2.3,cloudy
2024-12-14,5.8,77.5,16.7,1.0,cloudy
2024-12-15,3.5,70.2,17.6,2.9,cloudy
2024-12-16,1.2,77.4,20.6,1.2,cloudy
2024-12-17,2.0,83.0,7.2,5.0,cloudy
2024-12-18,4.6,81.4,15.3,2.0,cloudy
2024-12-19,0.4,80.8,11.8,9.7,rain
2024-12-20,2.5,86.3,13.4,0.6,cloudy
2024-12-21,1.9,69.1,19.2,0.3,sunny
2024-12-22,2.5,73.2,19.8,6.0,rain
2024-12-23,0.2,70.2,22.4,0.4,cloudy
2024-12-24,-2.0,82.3,16.6,2.2,cloudy
2024-12-25,3.9,88.6,13.3,3.1,cloudy
2024-12-26,4.9,90.5,12.5,0.3,cloudy
2024-12-27,-2.0,90.3,3.6,0.1,cloudy
2024-12-28,3.3,74.5,22.0,0.5,cloudy
2024-12-29,5.1,74.3,12.1,0.1,cloudy
2024-12-30,3.8,81.4,17.0,1.1,cloudy
2024-12-31,1.2,71.8,18.1,13.5,rain
2025-01-01,-0.1,81.2,6.5,3.2,cloudy
2025-01-02,2.4,90.7,8.5,3.7,cloudy
2025-01-03,2.8,72.6,23.3,0.4,cloudy
2025-01-04,2.4,75.5,15.7,4.4,cloudy
2025-01-05,1.7,82.1,10.5,1.9,cloudy
2025-01-06,-0.6,88.1,13.2,24.2,rain
2025-01-07,3.1,75.0,20.5,2.5,cloudy
2025-01-08,3.2,79.7,19.6,8.0,rain
2025-01-09,2.5,84.7,5.2,1.1,cloudy
2025-01-10,2.3,94.6,23.8,5.9,rain
2025-01-11,6.2,72.9,19.8,2.7,cloudy
2025-01-12,0.4,83.9,13.1,0.7,cloudy
2025-01-13,5.2,86.3,6.8,3.5,cloudy
2025-01-14,0.2,80.9,20.3,0.9,cloudy
2025-01-15,4.8,67.1,16.9,1.2,sunny
2025-01-16,5.1,77.6,5.3,17.6,rain
2025-01-17,1.3,90.2,12.6,2.0,cloudy
2025-01-18,6.2,76.4,32.8,4.4,cloudy
2025-01-19,3.2,78.5,14.1,1.4,cloudy
2025-01-20,-0.1,75.1,9.5,8.1,rain
2025-01-21,1.1,82.5,7.9,1.3,cloudy
2025-01-22,4.9,84.8,24.6,8.1,rain
2025-01-23,4.4,68.4,19.1,1.4,sunny
2025-01-24,-0.5,84.2,22.4,5.8,rain
2025-01-25,1.8,79.0,15.5,5.5,rain
2025-01-26,2.7,75.2,21.5,7.0,rain
2025-01-27,1.0,85.0,8.9,0.6,cloudy
2025-01-28,8.2,73.4,15.0,7.1,rain
2025-01-29,2.9,82.8,15.7,2.2,cloudy
2025-01-30,2.2,74.2,22.3,3.2,cloudy
2025-01-31,5.4,63.7,15.9,0.3,sunny
2025-02-01,1.6,84.0,10.2,9.3,rain
2025-02-02,5.1,72.4,14.4,1.6,cloudy
2025-02-03,-1.6,100.0,3.9,1.9,cloudy
2025-02-04,1.5,95.5,0.1,9.2,rain
2025-02-05,5.3,89.3,19.0,1.0,cloudy
2025-02-06,6.7,66.4,11.8,0.7,sunny
2025-02-07,0.9,87.3,12.4,2.1,cloudy
2025-02-08,0.7,89.9,19.0,3.5,cloudy
2025-02-09,4.4,82.4,22.4,1.6,cloudy
2025-02-10,1.5,79.8,17.2,5.3,rain
2025-02-11,2.5,89.5,25.6,0.5,cloudy
2025-02-12,5.4,75.3,17.0,6.4,rain
2025-02-13,1.9,82.4,15.8,1.0,cloudy
2025-02-14,-1.5,77.0,15.4,4.4,cloudy
2025-02-15,0.2,89.1,6.3,2.0,cloudy
2025-02-16,3.6,76.7,19.7,4.3,cloudy
2025-02-17,-1.0,90.0,0.7,12.4,rain
2025-02-18,3.0,81.2,10.5,4.0,cloudy
2025-02-19,0.4,85.6,14.1,8.2,rain
2025-02-20,8.1,70.2,9.3,1.6,cloudy
2025-02-21,9.5,73.4,11.3,6.4,rain
2025-02-22,1.5,80.9,25.0,1.1,cloudy
2025-02-23,4.9,66.0,20.6,0.8,sunny
2025-02-24,2.0,85.4,9.9,6.2,rain
2025-02-25,3.7,72.6,11.2,0.0,cloudy
2025-02-26,9.1,59.3,6.3,0.0,sunny
2025-02-27,3.6,71.4,18.2,2.0,cloudy
2025-02-28,4.1,79.5,12.5,4.4,cloudy
2025-03-01,2.6,79.6,2.2,2.3,cloudy
2025-03-02,8.0,55.7,14.6,1.5,sunny
2025-03-03,-2.9,87.6,16.6,4.9,cloudy
2025-03-04,4.2,85.5,19.8,6.9,rain
2025-03-05,20.4,45.2,13.6,0.1,sunny
2025-03-06,4.0,76.7,11.8,5.7,rain
2025-03-07,7.9,78.1,25.9,1.1,cloudy
2025-03-08,8.9,74.6,14.0,21.8,rain
2025-03-09,2.5,87.7,18.3,1.1,cloudy
2025-03-10,11.4,45.1,10.8,0.2,sunny
2025-03-11,2.7,92.2,18.1,7.9,rain
2025-03-12,9.7,72.1,5.3,3.2,cloudy
2025-03-13,7.0,89.7,11.2,1.9,cloudy
2025-03-14,5.5,69.7,6.8,1.0,sunny
2025-03-15,5.9,62.1,10.4,0.3,sunny
2025-03-16,6.9,72.6,21.5,0.6,cloudy
2025-03-17,7.7,69.2,10.3,0.2,sunny
2025-03-18,5.0,80.5,18.3,7.6,rain
2025-03-19,6.9,80.1,23.1,5.0,cloudy
2025-03-20,5.7,74.1,13.8,3.3,cloudy
2025-03-21,4.8,74.8,20.0,1.0,cloudy
2025-03-22,5.9,78.0,17.2,3.1,cloudy
2025-03-23,5.2,73.8,14.7,3.2,cloudy
2025-03-24,7.2,69.6,18.5,0.1,sunny
2025-03-25,9.5,75.1,25.0,1.6,cloudy
2025-03-26,8.9,77.8,10.2,1.6,cloudy
2025-03-27,13.7,68.0,8.2,0.8,sunny
2025-03-28,3.4,77.7,7.9,1.8,cloudy
2025-03-29,10.2,51.6,20.0,0.4,sunny
2025-03-30,9.3,67.3,20.8,0.1,sunny
2025-03-31,11.4,59.1,10.8,0.4,sunny
2025-04-01,11.4,63.6,1.2,0.2,sunny
2025-04-02,9.3,63.5,10.0,0.1,sunny
2025-04-03,10.3,66.2,17.3,0.0,sunny
2025-04-04,8.2,62.9,13.6,0.2,sunny
2025-04-05,11.8,54.8,15.1,1.2,sunny
2025-04-06,5.7,83.3,10.9,9.8,rain
2025-04-07,12.5,55.7,20.1,0.5,sunny
2025-04-08,-4.3,92.7,16.1,2.9,cloudy
2025-04-09,9.7,74.2,17.5,18.6,rain
2025-04-10,10.5,72.5,15.0,8.8,rain
2025-04-11,10.9,71.0,17.1,2.2,cloudy
2025-04-12,14.7,60.7,16.8,0.0,sunny
2025-04-13,4.7,81.6,8.4,5.5,rain
2025-04-14,14.8,67.9,16.2,1.3,sunny
2025-04-15,10.5,69.0,18.7,0.9,sunny
2025-04-16,13.7,47.5,20.9,0.3,sunny
2025-04-17,14.0,56.1,16.5,0.2,sunny
2025-04-18,10.2,71.6,8.2,0.6,cloudy
2025-04-19,9.5,63.5,9.1,0.2,sunny
2025-04-20,12.7,73.6,11.4,1.2,cloudy
2025-04-21,15.0,57.5,15.1,0.0,sunny
2025-04-22,9.1,69.2,13.3,0.6,sunny
2025-04-23,11.5,72.1,7.3,9.8,rain
2025-04-24,14.9,56.8,7.2,1.0,sunny
2025-04-25,13.8,61.4,1.4,0.7,sunny
2025-04-26,17.4,60.0,4.7,1.0,sunny
2025-04-27,10.5,55.8,13.2,0.3,sunny
2025-04-28,20.1,46.9,27.9,0.3,sunny
2025-04-29,10.5,71.9,24.8,1.3,cloudy
2025-04-30,9.4,68.5,8.1,1.1,sunny
2025-05-01,14.5,69.1,14.9,0.2,sunny
2025-05-02,12.0,52.4,5.2,0.1,sunny
2025-05-03,14.9,46.3,6.1,1.6,sunny
2025-05-04,15.0,63.4,6.8,0.2,sunny
2025-05-05,14.8,64.3,12.6,0.1,sunny
2025-05-06,13.4,59.5,12.9,0.6,sunny
2025-05-07,16.7,57.7,15.5,1.2,sunny
2025-05-08,15.0,63.2,18.0,0.3,sunny
2025-05-09,18.7,45.6,12.0,1.1,sunny
2025-05-10,15.7,51.8,14.2,0.0,sunny
2025-05-11,13.9,61.4,7.4,0.1,sunny
2025-05-12,12.2,69.3,5.9,0.3,sunny
2025-05-13,16.2,47.7,5.0,0.3,sunny
2025-05-14,13.6,59.2,17.9,0.7,sunny
2025-05-15,13.5,59.0,12.0,1.1,sunny
2025-05-16,18.4,54.9,2.8,0.7,sunny
2025-05-17,12.8,62.0,13.6,0.3,sunny
2025-05-18,20.9,43.6,6.5,0.1,sunny
2025-05-19,17.9,61.5,24.0,0.2,sunny
2025-05-20,17.5,49.7,10.5,1.2,sunny
2025-05-21,15.2,55.6,18.1,0.2,sunny
2025-05-22,19.8,38.2,20.5,1.9,sunny
2025-05-23,18.0,47.5,8.3,0.6,sunny
2025-05-24,16.5,59.0,14.5,0.9,sunny
2025-05-25,18.8,53.4,17.3,0.2,sunny
2025-05-26,14.2,63.6,14.7,0.1,sunny
