pickup_hour,day,distance_km,passenger_count,payment_type,fare,tip
9,Fri,2.18,1,card,8.09,1.51
8,Mon,4.4,2,cash,13.96,0.83
17,Sat,3.46,1,card,14.83,1.6
9,Fri,4.3,1,card,11.71,2.81
5,Sun,2.99,4,card,12.8,2.07
6,Sat,3.98,1,card,15.25,3.32
22,Wed,2.39,2,card,7.27,1.18
20,Thu,10.24,1,card,25.44,6.12
18,Thu,1.27,1,card,7.68,1.1
8,Sat,6.01,3,card,16.56,2.68
22,Tue,6.37,2,card,16.75,3.58
18,Wed,1.88,2,card,8.95,1.36
18,Tue,10.24,1,card,27.34,4.23
11,Wed,5.19,1,cash,16.12,0.57
8,Tue,5.12,1,cash,12.81,0.38
6,Mon,3.05,1,card,8.72,1.77
20,Sun,2.67,1,cash,8.74,0.82
12,Mon,2.68,1,card,8.32,1.87
7,Sun,3.72,1,card,13.71,3.14
9,Mon,6.49,1,cash,16.67,0.46
16,Sat,3.32,1,cash,14.63,0.12
7,Wed,1.82,1,cash,8.04,0.57
19,Thu,4.73,3,card,15.5,2.98
18,Tue,4.99,1,card,15.53,3.48
18,Thu,4.31,1,card,15.71,2.63
11,Thu,4.53,2,card,12.94,1.61
17,Thu,2.59,3,card,9.72,1.39
16,Wed,1.8,1,card,4.9,0.86
17,Thu,1.86,1,card,8.56,1.93
5,Sat,1.22,1,card,9.59,1.21
10,Thu,3.42,1,card,13.26,2.54
3,Wed,2.87,2,card,9.39,2.0
13,Mon,2.36,4,card,7.27,1.75
9,Wed,0.59,1,card,3.0,0.35
7,Mon,1.51,2,card,6.98,1.67
6,Tue,5.56,1,card,13.11,2.49
16,Sun,2.08,1,card,11.24,2.42
7,Mon,3.66,2,cash,12.03,0.74
21,Thu,1.4,1,card,6.6,1.16
16,Sat,6.63,1,card,20.32,3.93
9,Sun,2.78,1,card,12.79,1.87
16,Tue,3.52,4,cash,10.95,0.13
1,Tue,10.8,1,cash,25.83,0.88
22,Wed,6.92,1,card,20.44,3.74
12,Thu,2.54,1,card,8.17,0.87
18,Sun,2.17,1,card,13.7,2.27
5,Tue,2.51,1,cash,5.62,0.12
13,Tue,3.98,2,card,13.29,3.16
13,Tue,2.84,2,card,11.01,2.71
21,Sun,2.42,3,cash,11.36,0.37
15,Mon,6.73,2,cash,18.48,0.46
12,Wed,2.82,1,card,9.87,1.31
8,Mon,10.64,1,card,25.64,4.4
9,Tue,3.16,1,card,10.61,2.45
14,Sun,8.02,1,card,22.67,3.97
11,Mon,3.66,3,card,10.32,1.12
1,Wed,5.1,2,cash,15.57,0.28
19,Sun,2.02,4,cash,13.61,0.22
20,Fri,1.88,1,card,6.29,1.42
7,Mon,3.87,1,card,10.63,2.05
15,Thu,5.17,1,card,13.6,2.51
6,Sun,3.07,1,card,13.63,2.02
17,Wed,1.48,1,cash,7.06,1.0
8,Thu,1.42,1,card,6.55,0.98
17,Thu,1.37,1,card,8.91,2.01
18,Fri,1.14,3,card,7.4,1.73
18,Tue,3.19,1,card,13.23,2.28
6,Sat,5.58,1,card,17.91,4.19
21,Sun,2.98,2,cash,12.3,0.5
8,Mon,0.87,1,cash,3.74,0.43
3,Sat,2.7,3,card,13.16,1.49
15,Sat,2.75,2,cash,11.13,0.85
9,Sat,9.51,1,card,27.34,3.63
19,Wed,1.35,2,cash,7.88,0.03
19,Thu,2.42,2,card,9.06,0.91
9,Sat,7.68,2,card,22.17,3.3
22,Tue,3.85,2,cash,13.13,0.57
8,Sat,4.1,2,card,15.26,2.57
13,Sun,3.2,1,card,11.83,1.72
8,Fri,3.6,1,card,11.29,2.81
21,Wed,4.61,2,card,12.97,3.12
7,Thu,1.92,4,card,11.37,1.35
3,Mon,4.87,1,card,14.06,2.28
11,Sun,1.41,2,cash,8.65,0.33
23,Wed,3.6,1,card,12.62,2.65
20,Mon,3.31,2,card,8.07,1.25
18,Sat,2.14,4,card,12.82,2.72
20,Fri,2.97,1,cash,11.93,0.29
20,Fri,2.13,1,card,7.55,1.13
14,Mon,1.67,1,card,4.59,0.95
9,Sat,2.47,1,card,10.96,2.12
18,Fri,1.64,1,card,10.35,2.33
17,Sat,3.59,1,cash,16.35,0.18
9,Sat,1.6,1,card,8.51,1.07
6,Tue,4.44,1,cash,11.95,0.52
18,Tue,1.57,1,card,7.78,1.0
8,Sun,2.2,2,card,11.27,1.13
21,Thu,2.13,2,card,9.29,1.63
8,Thu,6.23,2,card,17.97,3.22
7,Wed,3.6,2,card,11.47,2.28
19,Fri,2.67,2,card,9.28,1.46
7,Sat,3.95,1,card,13.1,1.32
7,Mon,0.94,1,card,5.71,1.15
16,Thu,2.93,1,card,7.83,0.85
19,Sun,9.01,1,card,27.55,6.33
7,Tue,3.23,1,card,10.47,1.08
9,Tue,3.12,3,card,8.5,1.53
18,Sun,4.06,2,card,15.7,3.68
23,Mon,4.92,1,card,13.71,2.55
13,Wed,1.0,1,card,5.8,1.11
7,Thu,1.19,1,card,6.89,1.39
1,Sat,3.37,2,card,14.14,1.67
8,Mon,2.03,2,card,7.55,1.52
7,Thu,6.18,1,card,15.7,3.64
17,Tue,2.53,1,card,9.28,2.28
7,Sat,1.04,1,card,7.67,1.28
13,Fri,1.5,1,cash,6.79,0.54
17,Thu,0.66,3,card,6.86,1.46
16,Wed,2.64,2,cash,6.29,0.14
7,Tue,2.71,1,card,8.02,1.11
19,Sun,2.38,1,card,14.68,1.85
18,Fri,5.44,1,card,17.06,2.14
18,Wed,5.81,1,card,16.08,2.72
7,Wed,2.74,1,cash,11.85,0.43
7,Sat,0.93,1,card,8.01,0.82
21,Sat,4.22,4,cash,15.75,0.98
10,Thu,4.08,1,card,12.46,2.98
8,Wed,3.56,1,cash,10.39,0.37
13,Fri,5.15,1,cash,13.46,0.6
17,Fri,1.58,1,card,11.02,1.85
22,Fri,9.07,2,card,24.16,3.3
8,Mon,1.77,1,card,7.88,1.93
21,Thu,4.54,2,card,13.68,3.24
2,Fri,1.19,2,cash,4.41,0.41
15,Sun,1.8,1,card,11.49,1.92
17,Thu,6.92,1,card,19.21,3.0
6,Wed,2.6,4,card,9.06,0.96
7,Thu,4.77,1,card,11.53,1.66
10,Tue,3.42,1,cash,8.07,0.0
22,Mon,2.84,3,card,9.63,1.11
16,Fri,6.36,3,cash,16.02,0.36
21,Sun,2.64,1,cash,9.42,0.69
19,Sat,1.13,1,card,11.13,1.28
12,Fri,1.93,1,card,9.79,1.68
18,Mon,4.07,2,card,15.62,2.6
1,Sun,3.73,1,card,13.9,1.68
6,Thu,1.27,1,card,5.8,0.58
19,Wed,2.02,2,cash,10.51,0.53
19,Sun,2.18,4,card,14.14,1.91
8,Sat,2.46,2,cash,11.0,0.29
14,Sat,1.41,1,cash,9.14,0.64
16,Tue,2.13,1,cash,8.05,0.73
19,Sun,2.01,4,card,13.09,2.1
16,Thu,4.59,3,card,12.94,2.68
10,Thu,4.69,1,card,13.17,2.56
9,Sat,2.77,2,card,13.75,1.75
11,Fri,2.42,1,card,9.78,1.14
17,Tue,3.24,1,card,12.7,2.1
19,Wed,1.92,1,card,11.29,2.09
11,Wed,1.6,1,card,6.06,0.73
8,Sun,1.79,1,card,11.89,1.71
8,Sat,2.12,2,card,11.32,1.65
18,Wed,1.58,1,card,12.4,1.73
19,Sat,3.28,1,cash,13.79,0.61
6,Sat,4.49,1,card,15.05,2.98
5,Wed,1.25,1,cash,6.25,0.77
16,Wed,3.05,1,cash,10.19,0.33
7,Sun,2.66,1,card,14.19,1.64
19,Thu,3.62,1,card,12.16,2.72
9,Tue,2.98,2,card,10.64,1.83
7,Sat,1.35,3,card,10.36,1.13
21,Fri,1.5,1,card,7.15,0.99
7,Thu,3.05,3,card,8.56,1.89
8,Sat,5.29,3,cash,19.33,0.42
7,Sun,0.89,2,cash,9.43,0.1
6,Wed,3.63,2,cash,11.71,0.45
1,Wed,5.78,2,card,15.96,2.61
4,Tue,2.76,2,card,9.34,1.53
7,Fri,4.07,2,cash,11.86,0.93
4,Wed,2.04,1,card,8.26,1.63
16,Wed,2.81,4,card,9.22,1.73
17,Fri,1.23,1,card,6.69,0.82
9,Wed,0.83,2,card,3.57,0.83
9,Thu,5.05,1,card,13.21,2.05
13,Thu,1.75,1,card,7.12,0.77
19,Tue,2.34,1,card,10.12,1.51
19,Mon,1.4,1,card,8.34,1.92
3,Sat,1.38,1,card,9.64,2.29
7,Mon,2.73,1,card,8.25,1.43
8,Wed,2.01,1,card,9.18,2.23
8,Fri,3.7,1,cash,10.82,0.42
15,Mon,3.85,1,card,10.95,2.45
10,Fri,3.58,4,card,11.45,2.62
4,Sat,3.43,1,cash,11.34,0.43
9,Fri,7.15,1,card,17.78,3.8
14,Wed,1.67,1,cash,7.85,0.71
6,Mon,2.91,1,card,7.32,1.52
19,Sun,5.6,1,card,21.66,2.74
4,Wed,6.02,2,card,18.06,3.79
21,Sat,1.37,4,card,8.57,2.09
6,Tue,2.53,1,cash,8.92,0.53
19,Tue,6.34,2,cash,20.29,0.81
20,Sat,3.97,1,cash,14.17,0.66
23,Sun,3.34,1,cash,14.39,0.2
19,Sun,2.67,1,card,13.07,1.53
18,Sat,2.43,1,cash,12.77,0.72
17,Tue,3.52,1,card,11.78,2.16
18,Sun,2.61,2,cash,14.15,0.62
7,Fri,2.93,2,card,10.84,2.07
14,Tue,3.14,1,card,9.69,1.45
13,Mon,2.07,1,cash,6.03,0.14
19,Sun,4.03,1,cash,15.57,0.19
12,Tue,14.92,1,card,36.3,7.27
9,Sat,1.13,1,card,10.7,2.29
17,Mon,3.59,2,card,13.37,2.51
8,Tue,1.98,4,cash,6.89,0.79
7,Tue,4.13,1,card,13.01,1.77
12,Tue,3.08,1,card,9.49,1.32
10,Fri,4.57,2,card,12.6,1.43
8,Sun,5.73,2,card,17.46,3.2
9,Sun,3.34,1,card,15.04,2.89
9,Sat,5.6,1,card,15.27,3.19
9,Tue,0.83,2,cash,5.78,0.19
9,Sun,7.2,3,cash,21.28,0.15
17,Thu,3.69,1,cash,12.63,0.68
8,Thu,5.43,3,card,16.98,4.24
22,Fri,1.54,1,card,5.53,0.8
21,Sat,1.9,2,cash,9.36,0.03
12,Sun,3.26,1,cash,13.02,0.85
9,Fri,2.98,1,card,10.05,1.65
14,Fri,3.51,1,card,10.19,1.4
19,Sat,5.45,1,cash,18.1,0.38
17,Tue,1.14,1,card,6.47,1.27
19,Wed,5.13,1,cash,17.82,0.25
14,Fri,3.02,1,card,9.73,1.55
17,Mon,2.69,1,card,11.46,1.21
8,Wed,1.34,2,card,5.63,1.34
18,Sat,3.96,3,card,15.92,2.56
7,Sun,0.8,2,cash,9.77,0.44
17,Thu,4.29,1,card,14.21,1.61
19,Wed,1.32,1,card,7.37,1.44
7,Thu,3.09,3,cash,11.11,0.57
17,Fri,2.81,1,cash,10.32,0.15
6,Thu,5.72,1,cash,14.87,0.51
18,Mon,2.72,4,card,11.0,1.34
5,Thu,2.05,4,cash,7.51,0.49
21,Wed,2.27,1,card,8.31,1.98
7,Fri,6.05,2,card,18.82,3.12
22,Sun,4.03,1,card,15.27,2.31
19,Sun,2.43,2,card,10.49,2.25
16,Fri,2.64,1,cash,9.2,0.49
18,Wed,1.27,1,card,7.84,1.07
19,Thu,3.72,1,card,13.24,1.64
22,Tue,1.14,1,cash,5.8,0.35
8,Sun,4.54,2,card,15.95,3.45
16,Sat,3.22,1,card,13.02,2.66
6,Sat,11.17,3,cash,31.31,0.67
17,Wed,1.64,2,cash,7.96,0.84
7,Wed,2.84,1,cash,8.11,0.57
15,Sat,8.08,2,cash,27.4,0.64
15,Thu,5.78,1,cash,14.86,0.18
12,Fri,2.05,1,cash,7.63,0.04
14,Thu,3.4,1,card,8.69,1.63
18,Thu,3.01,3,card,11.76,1.7
19,Fri,3.51,2,card,11.6,1.28
13,Sat,2.05,3,cash,9.98,0.94
16,Wed,2.86,3,card,10.55,2.24
21,Sat,1.25,4,cash,9.32,0.62
6,Tue,3.24,1,card,10.81,1.41
6,Wed,3.85,3,card,9.34,2.21
5,Sun,2.65,1,card,14.03,2.99
17,Sun,1.24,1,card,9.3,1.85
10,Sun,5.17,1,card,19.21,3.8
18,Wed,3.67,1,card,14.3,3.37
17,Sat,2.02,1,cash,13.14,0.92
9,Sun,2.57,1,card,10.63,2.01
20,Sun,1.32,1,card,9.09,1.48
18,Mon,1.71,1,card,8.2,1.27
8,Sat,2.23,3,card,10.94,2.44
9,Sun,5.9,2,card,18.68,3.67
9,Sat,2.11,1,cash,8.2,0.14
7,Tue,4.27,1,cash,13.74,0.05
7,Sat,2.23,1,card,10.81,2.54
21,Mon,3.44,1,card,9.99,2.32
11,Thu,2.78,2,card,8.44,2.05
9,Fri,4.86,1,card,14.12,2.32
18,Thu,2.24,2,cash,8.86,0.8
15,Fri,1.27,2,card,3.09,0.69
21,Tue,1.4,1,cash,6.57,0.03
18,Fri,2.24,3,card,10.55,1.28
12,Fri,1.51,1,card,6.08,1.52
9,Fri,3.76,3,card,9.89,1.03
23,Wed,2.33,2,card,8.23,1.56
18,Wed,11.09,2,cash,27.64,0.04
22,Tue,1.16,2,card,4.32,0.87
6,Thu,3.36,3,cash,9.49,0.21
19,Fri,1.62,4,cash,9.58,0.66
17,Wed,2.29,1,card,9.6,1.27
7,Wed,3.25,2,card,9.61,2.16
16,Wed,0.84,2,card,7.19,0.96
17,Tue,3.42,1,card,12.95,2.65
1,Fri,8.56,3,cash,22.24,0.39
11,Sat,2.34,1,card,10.7,1.37
19,Wed,3.47,1,cash,11.92,0.84
8,Sun,5.28,1,card,14.99,3.25
12,Thu,2.75,1,card,10.21,1.15
11,Tue,2.18,3,cash,8.33,0.97
8,Wed,0.86,1,card,4.68,0.79
21,Mon,4.27,1,cash,12.23,0.89
18,Mon,2.82,1,card,12.09,2.23
6,Wed,1.72,1,cash,4.92,0.93
23,Thu,3.22,2,cash,9.38,0.91
20,Sat,2.18,3,cash,9.43,0.99
8,Mon,2.25,1,card,10.08,1.66
19,Sat,4.19,1,cash,18.27,0.8
6,Tue,1.44,1,card,3.52,0.52
23,Mon,5.34,1,cash,12.93,0.64
17,Fri,1.39,1,card,7.9,1.61
17,Sat,2.09,1,card,12.03,1.28
5,Fri,8.65,1,card,20.44,4.13
20,Mon,5.58,1,card,17.61,2.29
2,Mon,3.17,1,card,10.35,1.63
8,Wed,1.79,1,cash,7.51,0.16
7,Thu,2.25,2,card,7.12,1.3
18,Sun,3.13,2,cash,15.75,0.09
7,Wed,3.07,1,card,9.3,1.42
21,Tue,2.86,2,cash,8.95,0.85
17,Sun,2.95,3,cash,15.22,0.35
2,Tue,2.67,1,card,6.92,1.54
0,Mon,1.36,1,cash,7.91,0.16
4,Wed,2.26,1,cash,8.19,0.85
16,Wed,4.97,2,cash,15.47,0.95
19,Fri,1.42,1,card,6.83,0.88
8,Sun,2.71,2,card,10.85,2.27
19,Sun,1.91,1,cash,10.81,0.51
4,Wed,3.19,1,card,10.32,1.08
19,Sun,2.43,4,cash,13.43,0.71
21,Fri,6.77,1,card,17.34,2.12
18,Mon,3.97,3,cash,12.52,0.6
18,Sun,1.46,4,card,9.69,1.53
19,Mon,4.35,3,card,14.51,2.52
3,Fri,1.96,1,cash,6.75,0.87
7,Sat,2.19,2,cash,10.0,0.11
7,Tue,3.57,1,cash,12.71,0.6
13,Tue,2.29,1,cash,7.94,0.18
18,Thu,4.91,3,card,17.33,4.2
17,Sun,1.96,2,card,11.67,2.6
19,Tue,2.14,1,card,10.0,2.39
7,Fri,2.09,1,card,7.53,1.43
18,Thu,2.2,2,card,7.8,1.2
7,Mon,5.5,2,cash,16.81,0.96
8,Fri,4.25,1,card,12.19,2.42
18,Sat,7.69,3,card,25.81,4.23
23,Fri,10.46,1,card,25.11,5.27
17,Tue,1.7,1,card,8.54,0.97
4,Tue,3.12,2,card,8.82,1.98
17,Wed,1.57,4,card,9.94,1.3
3,Thu,1.96,1,card,7.69,1.86
20,Thu,2.12,1,card,8.1,1.0
18,Tue,1.68,1,cash,10.33,0.87
7,Thu,1.68,3,card,8.08,1.79
6,Wed,2.77,1,card,10.01,2.23
7,Fri,1.54,1,card,4.68,0.99
23,Sat,4.77,4,card,15.66,3.82
12,Fri,1.81,1,card,5.78,0.81
18,Mon,14.09,1,cash,36.87,0.95
17,Sun,2.34,1,card,13.35,2.04
15,Mon,3.13,2,card,8.22,1.48
7,Sun,1.47,1,card,9.01,1.5
22,Mon,7.68,1,cash,18.1,0.77
8,Thu,5.56,1,card,15.17,2.82
16,Mon,3.54,2,card,8.8,1.87
18,Mon,1.43,2,cash,8.78,0.43
17,Fri,3.37,1,card,12.87,3.09
22,Sat,1.62,1,card,11.85,2.13
7,Mon,6.71,3,card,18.78,2.38
13,Sun,4.69,1,card,15.81,3.11
10,Wed,3.17,1,cash,10.96,0.51
12,Wed,0.79,1,card,3.06,0.34
6,Wed,1.75,1,card,5.7,1.16
7,Thu,4.39,1,card,13.06,1.52
8,Tue,5.85,1,card,13.28,1.54
9,Wed,5.53,1,cash,15.12,0.13
11,Tue,1.25,1,card,4.53,0.49
17,Mon,3.55,2,cash,12.93,0.36
17,Wed,5.25,1,card,15.26,3.35
10,Fri,1.21,1,card,6.17,0.75
10,Sat,2.99,3,card,12.6,2.24
8,Wed,3.49,1,cash,12.36,0.7
16,Wed,2.55,2,card,8.62,1.68
9,Sat,1.08,1,card,7.45,0.82
2,Fri,2.51,2,cash,8.23,0.97
10,Sat,2.51,1,card,9.91,1.3
12,Sun,2.77,1,card,12.58,2.55
8,Sat,2.2,1,card,11.55,1.38
15,Sun,2.35,1,cash,14.13,0.3
15,Wed,2.94,1,card,8.72,1.46
18,Wed,3.83,2,card,13.1,2.44
17,Wed,2.54,2,card,9.9,2.47
17,Tue,2.4,1,card,10.53,1.09
9,Sat,3.16,3,card,13.41,1.34
18,Sat,1.04,2,card,10.22,1.56
15,Sat,3.91,3,card,15.91,2.46
11,Tue,3.0,2,card,8.86,2.06
17,Thu,3.07,2,cash,12.94,0.88
9,Tue,5.1,1,card,14.87,3.45
13,Sun,1.03,2,card,8.25,1.0
18,Tue,1.01,3,cash,6.84,0.98
20,Tue,3.49,1,cash,13.59,0.2
21,Thu,2.99,1,card,8.6,1.26
13,Sun,3.3,1,card,13.62,2.72
14,Sun,2.33,4,card,10.23,1.39
19,Mon,4.33,1,card,16.67,2.48
9,Wed,5.02,2,card,15.11,3.46
19,Tue,3.92,3,card,12.81,1.76
13,Wed,2.6,4,card,9.34,2.29
6,Thu,0.94,1,card,5.38,0.79
5,Tue,4.59,2,card,12.48,1.29
19,Mon,5.88,3,card,18.85,2.61
4,Thu,4.28,1,card,12.88,1.62
8,Mon,1.85,2,cash,7.33,0.21
9,Tue,4.35,1,cash,12.52,0.0
7,Mon,4.82,2,card,14.12,2.74
9,Mon,7.08,1,card,18.85,4.36
18,Thu,1.86,1,card,9.16,1.41
1,Sat,2.65,1,card,11.06,1.39
19,Sat,4.53,1,cash,20.0,0.21
19,Mon,3.1,1,card,10.56,2.3
9,Mon,1.62,2,card,7.08,1.34
7,Wed,3.77,1,card,10.91,1.26
16,Fri,4.13,1,card,14.2,2.56
6,Sat,3.15,2,card,11.85,2.02
9,Sat,3.39,2,card,12.58,1.88
22,Wed,2.61,1,cash,7.58,0.53
23,Tue,6.77,3,card,18.28,4.52
18,Mon,1.83,1,card,7.38,0.93
9,Tue,2.17,2,card,7.2,0.93
17,Mon,3.02,1,card,9.06,1.1
18,Sun,4.87,2,card,19.0,3.53
9,Tue,1.32,4,card,5.3,0.88
17,Sat,1.46,3,cash,9.43,0.53
0,Thu,0.98,1,card,6.46,1.06
7,Thu,3.06,2,card,8.16,1.64
14,Thu,1.62,1,card,7.52,1.07
7,Sat,2.43,2,card,10.5,2.49
7,Mon,4.32,2,card,14.43,2.11
19,Mon,2.11,4,cash,10.54,0.39
23,Wed,3.41,1,card,9.29,2.26
15,Wed,2.55,1,card,7.51,1.66
19,Thu,4.35,1,card,15.3,2.32
23,Sat,3.9,1,card,14.27,3.23
7,Fri,2.05,1,card,7.31,1.3
11,Tue,2.74,1,card,10.55,1.6
9,Wed,5.33,2,card,13.83,3.12
5,Sat,3.73,1,card,14.32,3.05
18,Tue,1.39,1,cash,9.2,0.51
11,Thu,4.31,1,cash,13.45,0.31
12,Thu,1.65,3,cash,6.44,0.85
7,Sat,6.53,2,cash,20.02,0.58
7,Sat,5.28,1,cash,15.53,0.49
20,Thu,3.52,1,cash,9.48,0.91
3,Wed,3.28,1,cash,10.6,0.84
8,Wed,2.68,1,cash,8.73,0.81
8,Wed,4.36,1,cash,12.68,0.23
13,Tue,2.45,1,cash,9.64,0.15
16,Fri,3.42,3,card,9.1,2.24
13,Tue,4.85,1,card,13.39,2.59
5,Fri,2.21,2,card,8.09,1.62
8,Sat,2.14,1,cash,9.86,0.76
19,Sun,1.56,4,card,13.15,1.88
17,Mon,1.67,4,cash,9.76,0.28
17,Sat,1.1,2,cash,10.77,0.49
17,Mon,4.49,1,cash,17.03,0.27
18,Wed,8.12,1,card,21.07,4.2
4,Tue,6.58,2,cash,17.47,0.75
9,Tue,1.23,2,cash,6.15,0.47
14,Tue,4.48,1,cash,11.76,0.72
9,Mon,6.57,1,cash,17.81,0.51
19,Sat,2.34,1,card,11.82,1.45
12,Mon,3.18,2,card,10.82,2.59
18,Wed,1.0,2,card,8.47,1.31
19,Fri,3.48,2,cash,12.98,0.72
13,Sun,1.67,2,card,7.45,0.94
21,Sat,3.35,1,cash,12.21,0.56
16,Mon,1.27,1,cash,6.47,0.86
19,Sun,4.05,1,card,16.94,3.38
9,Fri,5.28,2,card,11.38,1.4
13,Tue,1.95,1,card,8.78,1.13
14,Thu,1.61,1,cash,6.71,0.87
6,Sun,0.92,1,card,7.04,0.86
10,Wed,2.59,1,card,9.89,1.02
21,Tue,2.18,1,cash,6.98,0.99
17,Sun,1.28,1,card,9.99,2.29
7,Sun,3.85,1,cash,14.9,0.12
9,Sun,2.35,2,card,13.31,1.59
7,Sun,1.66,1,card,11.6,2.87
2,Sun,2.21,1,card,11.29,2.28
21,Thu,5.42,1,card,15.48,3.52
11,Tue,4.19,2,card,13.17,2.8
9,Fri,2.8,1,cash,7.65,0.76
16,Tue,4.22,2,card,13.06,2.06
0,Thu,1.59,3,card,5.62,0.84
8,Fri,3.06,2,card,10.11,2.1
18,Sun,3.26,1,card,14.9,3.09
17,Wed,2.32,2,cash,10.71,0.89
23,Tue,3.82,1,card,11.55,2.14
17,Sat,1.96,1,cash,8.62,0.66
12,Mon,3.98,1,card,11.97,2.08
18,Thu,4.07,1,card,14.72,2.83
20,Sat,0.6,1,card,7.86,1.29
18,Thu,5.78,1,card,17.59,3.85
22,Wed,0.56,1,cash,6.2,0.85
18,Sat,2.14,1,card,13.08,1.33
19,Wed,5.28,1,card,17.14,3.18
6,Fri,2.52,3,card,9.8,1.91
18,Thu,1.34,1,card,8.38,1.99
11,Mon,1.65,2,cash,5.55,0.47
15,Thu,5.28,1,cash,11.69,0.37
17,Mon,1.04,1,card,6.72,1.15
23,Sun,5.59,1,cash,19.21,0.91
23,Fri,2.91,1,cash,8.98,0.33
8,Wed,1.56,1,card,7.39,1.73
18,Thu,2.18,1,cash,9.97,0.88
18,Fri,1.72,1,card,10.33,1.88
9,Tue,4.84,1,cash,13.29,0.04
7,Wed,4.49,1,cash,13.44,0.94
3,Wed,1.17,1,card,6.18,1.17
18,Tue,2.41,1,cash,12.1,0.59
13,Sat,1.87,1,cash,8.07,0.58
23,Mon,6.12,1,card,15.91,1.7
12,Sat,1.43,1,card,10.16,2.1
